# !SESSION 2025-11-02 03:14:51.074
# version: 1.1
# verbose: true
# The following option strings are specified for this debug session:
# 	com.e1c.g5.v8.dt.platform.standaloneserver.wst.core/debug=true
# 	org.eclipse.core.runtime/perf/success=true
# 	com._1c.g5.v8.dt.compare/debug=true
# 	com.e1c.g5.v8.dt.platform.standaloneserver.core/debug=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/infobase/resource-processing=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud/sync/console=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/debug=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/infobase/load=true
# 	org.eclipse.core.runtime/debug=true
# 	org.eclipse.core.runtime/perf=true
# 	com.e1c.g5.v8.dt.platform.standaloneserver.core/trace=true
# 	org.eclipse.wst.server.core/severe=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/platform=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud/process=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud/tunnel/console=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/infobase/load/object-resolve=true
# 	com.e1c.g5.v8.dt.platform.cloud.wst.core/debug=true
# 	com._1c.g5.v8.dt.platform.services.core/preferences/keep-temp-files/fail=true
# 	com.e1c.g5.v8.dt.platform.cloud.wst.core/trace=true
# 	com._1c.g5.v8.dt.platform.services.core/debug=true
# 	com._1c.g5.v8.dt.compare/trace/git-merge=true
# 	com.e1c.g5.v8.dt.platform.standaloneserver.wst.core/trace=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud=true
| pool-1-thread-2 | 2025-11-02 03:14:51.074 | com.e1c.g5.v8.dt.platform.standaloneserver.wst.core | /trace | com.e1c.g5.v8.dt.internal.platform.standaloneserver.wst.core.StandaloneServerWstPlugin | trace | 196 | Populating runtimes upon service activation |
| main | 2025-11-02 03:17:31.636 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Using fallback runtime installation because stored installation cannot be loaded: project=P/УправлениеПарком, loaded=null, fallback=FixedRuntimeResolvable [installation=com._1c.g5.v8.dt.platform.services.model.impl.RuntimeInstallationImpl@1a18b38c (uuid: ffad0bf3-77d0-4d74-8169-7be7c92b1179, name: 1С:Предприятие 8.3.27.1786, typeId: com._1c.g5.v8.dt.platform.services.core.runtimeType.EnterprisePlatform, version: 8.3.27, build: 1786, location: file:///C:/Program%20Files%20(x86)/1cv8/8.3.27.1786/bin/, training: false, arch: x86)], infobase=com._1c.g5.v8.dt.platform.services.model.impl.InfobaseReferenceImpl@f0be1e7 (name: edt_park_db, uuid: fc3f7b47-f975-499a-bc28-6c3efa2d5c91, external: false, orderInList: -1.0, orderInTree: 0.0) (useProxy: NotUse, proxyServer: null, proxyPort: null, proxyUser: null, proxyPassword: null, clientConnectionSpeed: SelectAtStartup, authentication: PermitOsAuthentication, webserverAuthentication: PermitOsAuthentication, clientType: Auto, appArch: Auto, defaultClientType: Auto, version: 8.3.27.1786, defaultVersion: null, webCommonInfoBaseUrl: null, additionalParameters: null, developmentServer: null, httpsCaCertificate: None, httpsClientCertificate: None, httpsClientCertificateFile: null, httpsClientCertificateSelectType: Recent, httpsClientNssPath: null, httpsClientNssCertificateName: null, httpsCaCertificateFile: null, showInList: false, updateUrl: null, mobilePublicKey: null) |
| main | 2025-11-02 03:17:31.661 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Opening designer session: DesignerSessionInfobaseConnection [v8project=Configuration:УправлениеПарком, ][requiresSynchronization=true] |
| main | 2025-11-02 03:17:31.667 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Creating and caching missing designer agent connection for infobase edt_park_db |
| main | 2025-11-02 03:17:31.670 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Creating designer agent connection: infobase=edt_park_db, agent directory=null, connection directory=null |
| main | 2025-11-02 03:17:31.679 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Starting designer agent for infobase edt_park_db: C:\Program Files (x86)\1cv8\8.3.27.1786\bin\1cv8.exe DESIGNER /F D:\1c_start\edt_park\park_db /AgentMode /AgentSSHHostKeyAuto /AgentBaseDir C:\Users\Vik\AppData\Local\Temp\1cedt\ssh-2610 /AppAutoCheckVersion- /AgentPort 60530 /Out C:\Users\Vik\AppData\Local\Temp\1cedt\1cv8-3077901318300222432.log -NoTruncate |
| main | 2025-11-02 03:17:31.708 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Designer agent process identifier is 10 548 |
| main | 2025-11-02 03:17:32.713 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Creating and connecting designer client to host localhost and port 60530 |
| main | 2025-11-02 03:17:33.820 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Creating and connecting designer client to host localhost and port 60530 |
| main | 2025-11-02 03:17:34.288 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | New designer agent connection: DesignerAgentConnection[client=DesignerClient[sshSession=[host=localhost, port=60530, connected=true]], client.connected=true, server=Process[pid=10548, exitValue="not exited"], server.alive=true, server.pid=10548, agentBaseDirectory=C:\Users\Vik\AppData\Local\Temp\1cedt\ssh-2610, type=DESIGNER_AGENT, connectionDirectory=C:\Users\Vik\AppData\Local\Temp\1cedt\ssh-2610, hostname=localhost, port=60530, fileTransfer=null, fileTransferClient=null, session=ShellDesignerSession[channel=ChannelFacade[channel=[connected=true, closed=false, EOF=false], session=[host=localhost, port=60530, connected=true]]], transferingSession=null, isConnected=true, isOpen=false, isLaunchedByIde=true, resolveUserDirectory=true, connectionTimeout=null] |
| main | 2025-11-02 03:17:34.289 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Openning 1C:Enterprise designer agent connection with localhost:60530: DesignerAgentConnection[client=DesignerClient[sshSession=[host=localhost, port=60530, connected=true]], client.connected=true, server=Process[pid=10548, exitValue="not exited"], server.alive=true, server.pid=10548, agentBaseDirectory=C:\Users\Vik\AppData\Local\Temp\1cedt\ssh-2610, type=DESIGNER_AGENT, connectionDirectory=C:\Users\Vik\AppData\Local\Temp\1cedt\ssh-2610, hostname=localhost, port=60530, fileTransfer=null, fileTransferClient=null, session=ShellDesignerSession[channel=ChannelFacade[channel=[connected=true, closed=false, EOF=false], session=[host=localhost, port=60530, connected=true]]], transferingSession=null, isConnected=true, isOpen=false, isLaunchedByIde=true, resolveUserDirectory=true, connectionTimeout=PT1M] |
| main | 2025-11-02 03:17:34.388 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Trying to get connection directory for agent base directory "C:\Users\Vik\AppData\Local\Temp\1cedt\ssh-2610" and username "".. |
| main | 2025-11-02 03:17:35.399 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Registered new state change listener for designer agent connection. Connection: DesignerAgentConnection[client=DesignerClient[sshSession=[host=localhost, port=60530, connected=true]], client.connected=true, server=Process[pid=10548, exitValue="not exited"], server.alive=true, server.pid=10548, agentBaseDirectory=C:\Users\Vik\AppData\Local\Temp\1cedt\ssh-2610, type=DESIGNER_AGENT, connectionDirectory=C:\Users\Vik\AppData\Local\Temp\1cedt\ssh-2610\0, hostname=localhost, port=60530, fileTransfer=DelegatingDesignerFileTransfer[enabled=true, bypassFileNames=[ConfigDumpInfo.xml, load.lst, changes.txt], delegate=LocalDesignerFileTransfer[baseDirectory=C:\Users\Vik\AppData\Local\Temp\1cedt\ssh-2610\0]], fileTransferClient=null, session=ShellDesignerSession[channel=ChannelFacade[channel=[connected=true, closed=false, EOF=false], session=[host=localhost, port=60530, connected=true]]], transferingSession=com._1c.g5.designer.ssh.client.integration.TransferingDesignerSession@43fbd29, isConnected=true, isOpen=true, isLaunchedByIde=true, resolveUserDirectory=true, connectionTimeout=PT1M]. Listener: com._1c.g5.v8.dt.internal.platform.services.core.infobases.sync.connections.DesignerSessionInfobaseConnection$DesignerAgentConnectionListener@6884cfca. |
| main | 2025-11-02 03:17:35.415 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Storing platform selection: project=P/УправлениеПарком, old installation=null, new installation=FixedRuntimeResolvable [installation=com._1c.g5.v8.dt.platform.services.model.impl.RuntimeInstallationImpl@1a18b38c (uuid: ffad0bf3-77d0-4d74-8169-7be7c92b1179, name: 1С:Предприятие 8.3.27.1786, typeId: com._1c.g5.v8.dt.platform.services.core.runtimeType.EnterprisePlatform, version: 8.3.27, build: 1786, location: file:///C:/Program%20Files%20(x86)/1cv8/8.3.27.1786/bin/, training: false, arch: x86)], infobase=com._1c.g5.v8.dt.platform.services.model.impl.InfobaseReferenceImpl@f0be1e7 (name: edt_park_db, uuid: fc3f7b47-f975-499a-bc28-6c3efa2d5c91, external: false, orderInList: -1.0, orderInTree: 0.0) (useProxy: NotUse, proxyServer: null, proxyPort: null, proxyUser: null, proxyPassword: null, clientConnectionSpeed: SelectAtStartup, authentication: PermitOsAuthentication, webserverAuthentication: PermitOsAuthentication, clientType: Auto, appArch: Auto, defaultClientType: Auto, version: 8.3.27.1786, defaultVersion: null, webCommonInfoBaseUrl: null, additionalParameters: null, developmentServer: null, httpsCaCertificate: None, httpsClientCertificate: None, httpsClientCertificateFile: null, httpsClientCertificateSelectType: Recent, httpsClientNssPath: null, httpsClientNssCertificateName: null, httpsCaCertificateFile: null, showInList: false, updateUrl: null, mobilePublicKey: null) |
| main | 2025-11-02 03:17:35.452 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Opening designer session: DesignerSessionInfobaseConnection [v8project=Configuration:УправлениеПарком, infobase=com._1c.g5.v8.dt.platform.services.model.impl.InfobaseReferenceImpl@f0be1e7 (name: edt_park_db, uuid: fc3f7b47-f975-499a-bc28-6c3efa2d5c91, external: false, orderInList: -1.0, orderInTree: 0.0) (useProxy: NotUse, proxyServer: null, proxyPort: null, proxyUser: null, proxyPassword: null, clientConnectionSpeed: SelectAtStartup, authentication: PermitOsAuthentication, webserverAuthentication: PermitOsAuthentication, clientType: Auto, appArch: Auto, defaultClientType: Auto, version: 8.3.27.1786, defaultVersion: null, webCommonInfoBaseUrl: null, additionalParameters: null, developmentServer: null, httpsCaCertificate: None, httpsClientCertificate: None, httpsClientCertificateFile: null, httpsClientCertificateSelectType: Recent, httpsClientNssPath: null, httpsClientNssCertificateName: null, httpsCaCertificateFile: null, showInList: false, updateUrl: null, mobilePublicKey: null), ][baseDirectory=C:\Users\Vik\AppData\Local\Temp\1cedt\ssh-2610\0, requiresSynchronization=true] |
| main | 2025-11-02 03:17:35.454 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Reusing cached alive designer agent connection for infobase edt_park_db |
| derived_data_executor_2 | 2025-11-02 03:18:24.675 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | File has been saved (L/УправлениеПарком/src/Configuration/Configuration.mdo) with a list of changed objects, going to determine list of what to update on infobase side: objects=[com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@ba18cbc9, com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@77f9ceb] |
| derived_data_executor_2 | 2025-11-02 03:18:25.134 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Determined top object to calculate what to update in infobase: changed file=L/УправлениеПарком/src/Configuration/Configuration.mdo, changed object=com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@ba18cbc9, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@ba18cbc9 |
| derived_data_executor_2 | 2025-11-02 03:18:25.135 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Determined top object to calculate what to update in infobase: changed file=L/УправлениеПарком/src/Configuration/Configuration.mdo, changed object=com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@77f9ceb, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@ba18cbc9 |
| derived_data_executor_2 | 2025-11-02 03:18:25.138 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Determined infobase objects to be updated: changed file=L/УправлениеПарком/src/Configuration/Configuration.mdo, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@ba18cbc9, objects to update in infobase=[bm://УправлениеПарком/Configuration#/languages:Русский, bm://УправлениеПарком/Configuration#/] |
| derived_data_executor_2 | 2025-11-02 03:18:25.140 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Adding configuration to update list to fix UUID changing issue for all projects without support information: bm://УправлениеПарком/Configuration#/ |
| derived_data_executor_2 | 2025-11-02 03:18:25.141 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/УправлениеПарком/src/Configuration/Configuration.mdo, originally changed objects=[com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@ba18cbc9, com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@77f9ceb], resulting objects to update in infobase=[bm://УправлениеПарком/Configuration#/languages:Русский, bm://УправлениеПарком/Configuration#/] |
| derived_data_executor_3 | 2025-11-02 03:18:47.705 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/УправлениеПарком/src/Catalogs/Аттракционы/ManagerModule.bsl |
| derived_data_executor_2 | 2025-11-02 03:18:47.709 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/УправлениеПарком/src/Catalogs/Аттракционы/ObjectModule.bsl |
| derived_data_executor_3 | 2025-11-02 03:18:47.709 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Determined infobase objects to be updated: changed file=L/УправлениеПарком/src/Catalogs/Аттракционы/ManagerModule.bsl, owner object=com._1c.g5.v8.dt.bsl.model.impl.ModuleImpl@2cd4b5e4 (eProxyURI: platform:/resource/УправлениеПарком/src/Catalogs/Аттракционы/ManagerModule.bsl#/0), objects to update in infobase=[platform:/resource/УправлениеПарком/src/Catalogs/Аттракционы/ManagerModule.bsl#/0] |
| derived_data_executor_2 | 2025-11-02 03:18:47.710 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Determined infobase objects to be updated: changed file=L/УправлениеПарком/src/Catalogs/Аттракционы/ObjectModule.bsl, owner object=com._1c.g5.v8.dt.bsl.model.impl.ModuleImpl@8e10df86 (eProxyURI: platform:/resource/УправлениеПарком/src/Catalogs/Аттракционы/ObjectModule.bsl#/0), objects to update in infobase=[platform:/resource/УправлениеПарком/src/Catalogs/Аттракционы/ObjectModule.bsl#/0] |
| derived_data_executor_2 | 2025-11-02 03:18:47.710 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Adding configuration to update list to fix UUID changing issue for all projects without support information: bm://УправлениеПарком/Configuration#/ |
| derived_data_executor_2 | 2025-11-02 03:18:47.711 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/УправлениеПарком/src/Catalogs/Аттракционы/ObjectModule.bsl, originally changed objects=null, resulting objects to update in infobase=[platform:/resource/УправлениеПарком/src/Catalogs/Аттракционы/ObjectModule.bsl#/0, bm://УправлениеПарком/Configuration#/] |
| derived_data_executor_3 | 2025-11-02 03:18:47.710 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Adding configuration to update list to fix UUID changing issue for all projects without support information: bm://УправлениеПарком/Configuration#/ |
| derived_data_executor_3 | 2025-11-02 03:18:47.727 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/УправлениеПарком/src/Catalogs/Аттракционы/ManagerModule.bsl, originally changed objects=null, resulting objects to update in infobase=[platform:/resource/УправлениеПарком/src/Catalogs/Аттракционы/ManagerModule.bsl#/0, bm://УправлениеПарком/Configuration#/] |
| derived_data_executor_2 | 2025-11-02 03:18:47.981 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | File has been saved (L/УправлениеПарком/src/Configuration/Configuration.mdo) with a list of changed objects, going to determine list of what to update on infobase side: objects=[com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@ba18cbc9] |
| derived_data_executor_2 | 2025-11-02 03:18:47.981 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Determined top object to calculate what to update in infobase: changed file=L/УправлениеПарком/src/Configuration/Configuration.mdo, changed object=com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@ba18cbc9, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@ba18cbc9 |
| derived_data_executor_3 | 2025-11-02 03:18:47.981 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | File has been saved (L/УправлениеПарком/src/Catalogs/Аттракционы/Аттракционы.mdo) with a list of changed objects, going to determine list of what to update on infobase side: objects=[com._1c.g5.v8.dt.metadata.mdtype.impl.MdManagerTypeImpl@a668ddc, com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogImpl@4062855c, com._1c.g5.v8.dt.metadata.mdtype.impl.CatalogTypesImpl@9e2120ef, com._1c.g5.v8.dt.metadata.mdtype.impl.MdObjectTypeImpl@5981a5d4, com._1c.g5.v8.dt.metadata.mdtype.impl.MdSelectionTypeImpl@de2c7e48, com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@cc5d4a9, com._1c.g5.v8.dt.metadata.mdtype.impl.MdRefTypeImpl@c02a82ca, com._1c.g5.v8.dt.metadata.mdtype.impl.MdListTypeImpl@30e6f4eb] |
| derived_data_executor_2 | 2025-11-02 03:18:47.982 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Determined infobase objects to be updated: changed file=L/УправлениеПарком/src/Configuration/Configuration.mdo, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@ba18cbc9, objects to update in infobase=[bm://УправлениеПарком/Configuration#/languages:Русский, bm://УправлениеПарком/Configuration#/] |
